target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IE,2026-04-05,3,quantile,0.65,6.518577797721443,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.65,6.300813506638425,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.7,6.764513022831556,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.7,7.235280611360707,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.7,6.729103481096979,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.7,6.444195736316101,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.75,7.132275373771396,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.75,7.3757405394151085,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.75,6.8781049538682275,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.75,6.480322392096595,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.8,7.400492323204616,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.8,7.546875522604504,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.8,7.002657256827447,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.8,6.557705756366964,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.85,7.449713941510336,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.85,7.927848469977292,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.85,7.453086014743467,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.85,6.688062054130411,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.9,7.645279214164867,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.9,8.428634710151668,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.9,7.707747161569,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.9,7.039390430507503,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.95,7.906393679850807,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.95,8.510165929629599,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.95,8.02047811666441,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.95,7.808787932806628,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.975,8.724928609388014,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.975,8.539898729478915,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.975,8.407109298768738,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.975,8.194556284790126,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.99,10.659093972130183,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.99,8.560167597725295,2026-03-25
