target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,NO,2026-04-12,4,quantile,0.3,47.10219698425961,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.35,59.09066457209014,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.35,59.67559666531747,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.35,59.48991779824049,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.35,50.77930166811627,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.4,62.557342338774596,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.4,63.50454314483904,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.4,63.19037357054597,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.4,55.09505729948595,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.45,66.21873598893525,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.45,67.0762375934248,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.45,66.55615656109279,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.45,58.67220666762974,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.5,69.98131626592878,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.5,70.61800483693446,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.5,70.1021382798069,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.5,61.91155905205346,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.55,74.49513302673726,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.55,74.13857544565697,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.55,74.09443370345433,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.55,66.37342427350511,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.6,77.89965414617606,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.6,77.67039701422263,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.6,76.39088013917849,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.6,69.95461573355628,2026-03-25
